submission_date,state,tot_cases,conf_cases,tot_death
05/31/2021,NY,1151220,,19780
11/15/2021,TX,4268082,,71633
06/05/2022,FL,6223785,,75164
11/15/2020,NY,278144,,9497
08/01/2020,NY,190307,,8854
05/20/2021,FL,2265149,,36720
05/03/2021,NY,1124156,,19454
07/27/2021,TX,3075316,,51890
09/18/2020,NY,208746,,9013
06/30/2020,TX,159986,,3267
06/28/2022,NY,2995000,,28225
02/15/2021,NY,874571,,17396
08/31/2020,TX,612969,,14780
08/07/2022,NY,3107604,,28579
04/27/2021,NY,1112609,,19355
03/30/2021,TX,2778808,,48677
09/29/2020,FL,691643,,16269
03/12/2021,NY,958223,,18356
03/28/2022,FL,5846641,,73720
08/27/2022,TX,7691281,,88502
02/24/2020,NY,0,,0
08/17/2021,FL,2990583,,44840
08/01/2022,FL,6825234,,78500
02/06/2022,FL,5680618,,69743
02/23/2020,FL,0,,0
09/25/2020,FL,683798,,16051
06/09/2020,TX,77253,,2160
09/18/2022,FL,7095561,,81344
07/26/2021,NY,1167263,,19975
03/26/2021,TX,2765446,,48505
06/22/2021,TX,2977580,,51349
08/14/2022,NY,3125561,,28654
05/01/2022,FL,5937148,,74299
03/12/2021,FL,1934350,,33062
05/11/2021,TX,2909829,,50328
04/20/2021,TX,2848820,,49561
03/22/2021,TX,2747693,,48293
11/16/2020,FL,879712,,18750
07/29/2022,TX,7432464,,87695
03/17/2021,NY,973707,,18477
12/11/2021,TX,4369418,,73364
05/06/2020,NY,145627,,6482
06/08/2020,FL,64128,,2896
01/10/2021,FL,1459220,,24918
08/24/2021,NY,1222592,,20185
09/11/2022,TX,7791507,,88811
12/06/2021,TX,4346792,,72989
01/04/2022,TX,4798692,,74796
07/06/2020,FL,209876,,4276
08/22/2021,TX,3445183,,53994
01/12/2021,TX,1995292,,35174
05/01/2021,FL,2202421,,35763
11/14/2020,TX,1100479,,21450
06/26/2022,TX,7054924,,87054
05/27/2021,TX,2940203,,50837
05/26/2022,FL,6125482,,74818
03/13/2020,NY,267,,0
08/30/2021,FL,3264078,,49999
11/27/2020,NY,323295,,9869
10/30/2020,TX,893451,,19360
02/01/2020,NY,0,,0
09/12/2022,TX,7808077,,88842
12/16/2020,NY,438797,,11085
10/08/2021,NY,1368316,,21151
04/15/2022,FL,5881583,,74056
09/17/2022,NY,3200751,,28990
04/16/2022,TX,6707263,,86327
05/07/2020,NY,147253,,6580
12/03/2021,FL,3724978,,62382
07/23/2020,TX,361125,,7981
04/23/2020,NY,117605,,4407
11/18/2020,TX,1140860,,22119
10/28/2021,TX,4211838,,69668
03/28/2020,NY,22552,,107
03/08/2021,NY,944830,,18249
12/11/2020,TX,1448002,,26539
02/18/2021,NY,883994,,17555
10/11/2020,FL,720935,,16895
10/06/2021,TX,4095261,,65433
01/21/2021,TX,2188643,,38230
10/23/2021,FL,3658367,,60995
06/06/2022,NY,2948955,,28027
12/17/2021,FL,3781304,,62710
08/31/2022,NY,3162949,,28825
10/12/2021,FL,3632825,,60171
10/23/2021,TX,4192541,,69001
08/22/2020,FL,588245,,12952
03/15/2022,NY,2646449,,27141
10/15/2020,TX,809808,,17898
05/14/2021,FL,2249772,,36437
07/01/2021,FL,2343245,,38089
05/04/2021,FL,2213913,,35919
02/14/2022,NY,2607874,,26619
02/29/2020,NY,0,,0
12/15/2020,NY,432330,,11004
11/05/2021,FL,3681130,,61598
02/02/2022,NY,2564939,,26077
09/05/2022,NY,3173293,,28858
01/07/2021,NY,614792,,13425
06/28/2021,FL,2334938,,37995
10/11/2021,FL,3630165,,60066
10/09/2020,FL,715772,,16790
12/03/2020,FL,1018521,,20087
07/24/2020,NY,187258,,8813
03/31/2021,TX,2783305,,48724
12/04/2020,FL,1028765,,20184
09/09/2021,NY,1269961,,20471
08/20/2021,TX,3411118,,53738
07/24/2021,TX,3062715,,51830
05/05/2020,NY,144318,,5907
12/01/2021,TX,4319782,,72707
11/26/2020,FL,959206,,19444
10/08/2020,NY,221408,,9092
09/11/2021,NY,1277616,,20518
07/14/2020,NY,183559,,8756
07/28/2021,NY,1168983,,19981
01/07/2022,TX,4946867,,75128
02/23/2020,TX,0,,0
03/11/2022,TX,6597153,,84882
03/01/2021,TX,2647845,,46538
12/05/2021,FL,3727922,,62428
01/13/2021,FL,1501039,,25515
04/22/2020,FL,27708,,1095
09/16/2022,TX,7827704,,88954
05/15/2022,FL,6022120,,74551
03/20/2021,TX,2743179,,48175
07/09/2020,TX,230346,,4593
07/03/2020,FL,186518,,3999
12/09/2020,TX,1418252,,26080
03/09/2022,FL,5823597,,73106
10/29/2020,TX,886820,,19236
02/21/2021,NY,894600,,17711
08/08/2021,FL,2791996,,41928
03/20/2022,TX,6620575,,85479
01/31/2020,FL,0,,0
10/18/2021,FL,3647465,,60635
12/25/2020,FL,1239763,,22412
12/01/2020,NY,340717,,10061
05/19/2022,NY,2884332,,27773
02/18/2022,TX,6501313,,82084
10/01/2022,TX,7870903,,89208
11/08/2021,TX,4245949,,70766
10/25/2020,NY,236909,,9203
10/31/2020,NY,244271,,9263
03/04/2021,FL,1897351,,32494
06/01/2022,FL,6183149,,75016
09/24/2021,TX,3984407,,62469
08/30/2020,FL,610135,,13941
04/09/2020,FL,16298,,522
07/03/2021,NY,1158044,,19933
10/27/2020,NY,238936,,9226
04/25/2021,NY,1109400,,19320
02/02/2020,TX,0,,0
01/29/2020,FL,0,,0
09/02/2020,TX,621667,,14976
01/27/2021,FL,1654400,,28130
02/13/2020,NY,0,,0
04/23/2020,FL,28921,,1144
01/24/2021,NY,766261,,15501
03/17/2020,FL,225,,9
04/04/2020,NY,50398,,566
05/29/2020,TX,61006,,1873
05/09/2020,FL,39192,,1838
04/10/2021,TX,2816097,,49145
03/10/2022,TX,6589275,,84780
07/14/2021,TX,3014340,,51549
02/21/2022,NY,2621612,,26821
09/21/2020,TX,698387,,16380
12/10/2020,FL,1084366,,20765
08/07/2020,TX,474524,,11404
03/27/2020,TX,1731,,46
07/03/2020,TX,183532,,3623
01/08/2021,TX,1915261,,33807
11/24/2020,NY,308726,,9747
12/03/2021,TX,4329541,,72882
07/09/2020,NY,181461,,8732
05/10/2020,TX,38869,,1322
09/25/2020,TX,728552,,16649
08/02/2020,NY,190575,,8860
02/09/2020,TX,0,,0
12/31/2021,FL,4249745,,63183
02/03/2021,TX,2433110,,41934
09/14/2020,NY,206881,,8995
09/24/2022,FL,7110562,,81561
03/13/2020,TX,22,,0
12/04/2020,NY,360714,,10217
03/11/2021,TX,2704344,,47509
04/24/2022,FL,5908536,,74183
02/10/2022,TX,6423519,,80310
02/24/2022,TX,6533512,,83121
